




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST008114reported.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	GCST008114reported.txt (2)	GCST008114reported.txt (expected)	GCST008114reported.txt (over/under)	GCST008114reported.txt (fold Enrichment)	GCST008114reported.txt (raw P-value)	GCST008114reported.txt (FDR)
regulation of activation-induced cell death of T cells (GO:0070235)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell apoptotic process (GO:0070234)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of midbrain dopaminergic neuron differentiation (GO:1904956)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell apoptotic process (GO:0070233)	20	0	.00	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in midbrain dopaminergic neuron differentiation (GO:1904955)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of T cell apoptotic process (GO:0070232)	36	0	.00	-	 < 0.01	1.00E00	1.00E00
canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904954)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
T cell apoptotic process (GO:0070231)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904953)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of lymphocyte apoptotic process (GO:0070230)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of establishment of protein localization (GO:1904950)	183	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA transport (GO:0050658)	198	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleic acid transport (GO:0050657)	198	0	.02	-	 < 0.01	1.00E00	1.00E00
dermatan sulfate proteoglycan metabolic process (GO:0050655)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	44	0	.00	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0050653)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dermatan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0050652)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dermatan sulfate proteoglycan biosynthetic process (GO:0050651)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	31	0	.00	-	 < 0.01	1.00E00	1.00E00
paraxial mesodermal cell fate commitment (GO:0048343)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
paraxial mesodermal cell differentiation (GO:0048342)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
paraxial mesoderm formation (GO:0048341)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
microtubule polymerization based movement (GO:0099098)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
paraxial mesoderm morphogenesis (GO:0048340)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
cell adhesion involved in sprouting angiogenesis (GO:0120078)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcitriol biosynthetic process from calciol (GO:0036378)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
angiogenic sprout fusion (GO:0120077)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sodium ion export across plasma membrane (GO:0036376)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of lymphocyte apoptotic process (GO:0070229)	31	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium export from the mitochondrion (GO:0099093)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of lymphocyte apoptotic process (GO:0070228)	56	0	.01	-	 < 0.01	1.00E00	1.00E00
lymphocyte apoptotic process (GO:0070227)	20	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of pyloric antrum smooth muscle contraction (GO:0120072)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
midbrain dopaminergic neuron differentiation (GO:1904948)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
opsin transport (GO:0036372)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of pyloric antrum smooth muscle contraction (GO:0120071)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
folate import into mitochondrion (GO:1904947)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization to T-tubule (GO:0036371)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfide oxidation, using sulfide:quinone oxidoreductase (GO:0070221)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
paraxial mesoderm development (GO:0048339)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
mesoderm structural organization (GO:0048338)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of mesodermal cell fate specification (GO:0048337)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mesodermal cell differentiation (GO:0048333)	25	0	.00	-	 < 0.01	1.00E00	1.00E00
mesoderm morphogenesis (GO:0048332)	70	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of endoplasmic reticulum localization to postsynapse (GO:0099089)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
axonal transport of messenger ribonucleoprotein complex (GO:0099088)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
anterograde axonal transport of messenger ribonucleoprotein complex (GO:0099087)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of stomach fundus smooth muscle contraction (GO:0120069)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor catabolic process (GO:0036369)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of stomach fundus smooth muscle contraction (GO:0120068)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
light adaption (GO:0036367)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization organization (GO:0099084)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta1 activation (GO:0036364)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta activation (GO:0036363)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in axon guidance (GO:1904938)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of gastric emptying (GO:0120061)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of gastric emptying (GO:0120060)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interneuron migration (GO:1904936)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
protein auto-ADP-ribosylation (GO:0070213)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell proliferation in midbrain (GO:1904935)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein poly-ADP-ribosylation (GO:0070212)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell proliferation in midbrain (GO:1904934)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cell proliferation in midbrain (GO:1904933)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
axial mesodermal cell fate specification (GO:0048327)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
axial mesodermal cell fate commitment (GO:0048322)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
axial mesodermal cell differentiation (GO:0048321)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
axial mesoderm formation (GO:0048320)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
renal potassium excretion (GO:0036359)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of small intestinal transit (GO:0120058)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrion-derived vesicle mediated transport (GO:0099075)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of small intestinal transit (GO:0120057)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrion to lysosome transport (GO:0099074)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	50	0	.00	-	 < 0.01	1.00E00	1.00E00
protein heterotrimerization (GO:0070208)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
protein homotrimerization (GO:0070207)	30	0	.00	-	 < 0.01	1.00E00	1.00E00
protein trimerization (GO:0070206)	45	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2A-K119 monoubiquitination (GO:0036353)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2A-K15 ubiquitination (GO:0036352)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2A-K13 ubiquitination (GO:0036351)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904925)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of protein localization to telomere (GO:0070203)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of protein localization to chromosome (GO:0070202)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitophagy in response to mitochondrial depolarization (GO:1904924)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904923)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to telomere (GO:0070200)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
axial mesoderm morphogenesis (GO:0048319)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
axial mesoderm development (GO:0048318)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
Golgi inheritance (GO:0048313)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
intracellular distribution of mitochondria (GO:0048312)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynapse assembly (GO:0099068)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrion distribution (GO:0048311)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
snRNA (adenine-N6)-methylation (GO:0120049)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
stereocilium maintenance (GO:0120045)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet maturation (GO:0036345)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet morphogenesis (GO:0036344)	20	0	.00	-	 < 0.01	1.00E00	1.00E00
psychomotor behavior (GO:0036343)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
post-anal tail morphogenesis (GO:0036342)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of establishment of protein-containing complex localization to telomere (GO:1904914)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of protein-containing complex localization to telomere (GO:1904913)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of establishment of RNA localization to telomere (GO:1904911)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of RNA localization to telomere (GO:1904910)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
organelle inheritance (GO:0048308)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
immunoglobulin secretion (GO:0048305)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of isotype switching to IgG isotypes (GO:0048304)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of isotype switching to IgG isotypes (GO:0048302)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
plasma membrane bounded cell projection morphogenesis (GO:0120039)	498	0	.05	-	 < 0.01	1.00E00	1.00E00
plasma membrane bounded cell projection organization (GO:0120036)	1114	0	.11	-	 < 0.01	1.00E00	1.00E00
presynapse assembly (GO:0099054)	21	0	.00	-	 < 0.01	1.00E00	1.00E00
Fas signaling pathway (GO:0036337)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of plasma membrane bounded cell projection organization (GO:0120035)	678	0	.06	-	 < 0.01	1.00E00	1.00E00
dendritic cell migration (GO:0036336)	22	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)	99	0	.01	-	 < 0.01	1.00E00	1.00E00
intestinal stem cell homeostasis (GO:0036335)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	26	0	.00	-	 < 0.01	1.00E00	1.00E00
epidermal stem cell homeostasis (GO:0036334)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	174	0	.02	-	 < 0.01	1.00E00	1.00E00
vesicle scission (GO:0099050)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of maintenance of mitotic sister chromatid cohesion, telomeric (GO:1904908)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hepatocyte homeostasis (GO:0036333)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
plasma membrane bounded cell projection assembly (GO:0120031)	432	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of maintenance of mitotic sister chromatid cohesion, telomeric (GO:1904907)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904906)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904905)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904904)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ESCRT III complex disassembly (GO:1904903)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
ESCRT III complex assembly (GO:1904902)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of purine nucleotide metabolic process (GO:1900544)	45	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of purine nucleotide metabolic process (GO:1900543)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of purine nucleotide metabolic process (GO:1900542)	117	0	.01	-	 < 0.01	1.00E00	1.00E00
clearance of foreign intracellular nucleic acids (GO:0099046)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vesicle tethering to endoplasmic reticulum (GO:0099044)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor-2 signaling pathway (GO:0036324)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
vesicle tethering to Golgi (GO:0099041)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide translocation (GO:0099040)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor-1 signaling pathway (GO:0036323)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ghrelin secretion (GO:0036321)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitic acid biosynthetic process (GO:1900535)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitic acid metabolic process (GO:1900533)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sphingolipid translocation (GO:0099039)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
SREBP-SCAP complex retention in endoplasmic reticulum (GO:0036316)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to sterol (GO:0036315)	21	0	.00	-	 < 0.01	1.00E00	1.00E00
response to sterol (GO:0036314)	30	0	.00	-	 < 0.01	1.00E00	1.00E00
intermembrane sphingolipid transfer (GO:0120012)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intermembrane lipid transfer (GO:0120009)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization to M-band (GO:0036309)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
plasma membrane invagination (GO:0099024)	138	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic heart tube elongation (GO:0036306)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vesicle tethering (GO:0099022)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
ameloblast differentiation (GO:0036305)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
umbilical cord morphogenesis (GO:0036304)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lymph vessel morphogenesis (GO:0036303)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
atrioventricular canal development (GO:0036302)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA splicing, via spliceosome (GO:0000398)	295	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA 5'-splice site recognition (GO:0000395)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle exocytosis (GO:0099011)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
spliceosomal conformational changes to generate catalytic conformation (GO:0000393)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
modification of postsynaptic structure (GO:0099010)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
spliceosomal complex disassembly (GO:0000390)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
modulation by symbiont of host autophagy (GO:0075071)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA 3'-splice site recognition (GO:0000389)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) (GO:0000388)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
spliceosomal snRNP assembly (GO:0000387)	38	0	.00	-	 < 0.01	1.00E00	1.00E00
calmodulin dependent kinase signaling pathway (GO:0099004)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
vesicle-mediated transport in synapse (GO:0099003)	134	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	69	0	.01	-	 < 0.01	1.00E00	1.00E00
alternative mRNA splicing, via spliceosome (GO:0000380)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA-type intron splice site recognition and cleavage (GO:0000379)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA exon ligation (GO:0000378)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	295	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA splicing, via transesterification reactions (GO:0000375)	298	0	.03	-	 < 0.01	1.00E00	1.00E00
parathyroid hormone secretion (GO:0035898)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
exit from host cell (GO:0035891)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
exit from host (GO:0035890)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation by symbiont of host autophagy (GO:0075044)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
cis assembly of pre-catalytic spliceosome (GO:0000354)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
generation of catalytic spliceosome for second transesterification step (GO:0000350)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein heterodimerization activity (GO:0043497)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein homodimerization activity (GO:0043496)	20	0	.00	-	 < 0.01	1.00E00	1.00E00
vascular smooth muscle cell differentiation (GO:0035886)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
enteroendocrine cell differentiation (GO:0035883)	21	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase B signaling (GO:0043491)	39	0	.00	-	 < 0.01	1.00E00	1.00E00
malate-aspartate shuttle (GO:0043490)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
amacrine cell differentiation (GO:0035881)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic nail plate morphogenesis (GO:0035880)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
generation of catalytic spliceosome for first transesterification step (GO:0000349)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to flavonoid (GO:1905396)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to flavonoid (GO:1905395)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
learned vocalization behavior or vocal learning (GO:0098598)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA stabilization (GO:0043489)	50	0	.00	-	 < 0.01	1.00E00	1.00E00
observational learning (GO:0098597)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA stability (GO:0043488)	180	0	.02	-	 < 0.01	1.00E00	1.00E00
plasma membrane lactate transport (GO:0035879)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
imitative learning (GO:0098596)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of helicase activity (GO:0051097)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of RNA stability (GO:0043487)	185	0	.02	-	 < 0.01	1.00E00	1.00E00
nail development (GO:0035878)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of helicase activity (GO:0051096)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
histone exchange (GO:0043486)	49	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of helicase activity (GO:0051095)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
endosome to pigment granule transport (GO:0043485)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of developmental process (GO:0051093)	954	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of RNA splicing (GO:0043484)	141	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	151	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to copper ion starvation (GO:0035874)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	265	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular pigment accumulation (GO:0043482)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
lactate transmembrane transport (GO:0035873)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0035872)	28	0	.00	-	 < 0.01	1.00E00	1.00E00
protein K11-linked deubiquitination (GO:0035871)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
protein deneddylation (GO:0000338)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to presynapse (GO:1905386)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to presynapse (GO:1905384)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization to presynapse (GO:1905383)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of snRNA transcription by RNA polymerase II (GO:1905382)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of snRNA transcription by RNA polymerase II (GO:1905380)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
constitutive protein ectodomain proteolysis (GO:0051089)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
PMA-inducible membrane protein ectodomain proteolysis (GO:0051088)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to virus (GO:0098586)	33	0	.00	-	 < 0.01	1.00E00	1.00E00
chaperone mediated protein folding independent of cofactor (GO:0051086)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chaperone cofactor-dependent protein refolding (GO:0051085)	32	0	.00	-	 < 0.01	1.00E00	1.00E00
pigment accumulation (GO:0043476)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' posttranslational protein folding (GO:0051084)	38	0	.00	-	 < 0.01	1.00E00	1.00E00
learned vocalization behavior (GO:0098583)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' cotranslational protein folding (GO:0051083)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
