




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST005047mapped.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20996)	GCST005047mapped.txt (33)	GCST005047mapped.txt (expected)	GCST005047mapped.txt (over/under)	GCST005047mapped.txt (fold Enrichment)	GCST005047mapped.txt (raw P-value)	GCST005047mapped.txt (FDR)
fructose 1,6-bisphosphate 1-phosphatase activity (GO:0042132)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
thiamine phosphate phosphatase activity (GO:0042131)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidized pyrimidine DNA binding (GO:0032358)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidized purine DNA binding (GO:0032357)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidized DNA binding (GO:0032356)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
microtubule cortical anchor activity (GO:0106006)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled glutamate receptor activity (GO:0098988)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
troponin C binding (GO:0030172)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated proton channel activity (GO:0030171)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphate binding (GO:0030170)	56	0	.09	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle binding (GO:0030169)	17	0	.03	-	 < 0.01	1.00E00	1.00E00
PDZ domain binding (GO:0030165)	90	0	.14	-	 < 0.01	1.00E00	1.00E00
GKAP/Homer scaffold activity (GO:0030160)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynaptic actin cytoskeleton (GO:0098973)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
adenosine 3',5'-bisphosphate transmembrane transporter activity (GO:0071077)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolyl-poly(glutamate) polymer binding (GO:1904493)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
eukaryotic initiation factor eIF2 binding (GO:0071074)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Ac-Asp-Glu binding (GO:1904492)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNA binding (GO:0034513)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
box C/D snoRNA binding (GO:0034512)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
U3 snoRNA binding (GO:0034511)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
receptor signaling complex adaptor activity (GO:0030159)	37	0	.06	-	 < 0.01	1.00E00	1.00E00
protein xylosyltransferase activity (GO:0030158)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
benzodiazepine receptor binding (GO:0030156)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
molybdenum ion binding (GO:0030151)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic neurotransmitter receptor activity (GO:0098960)	78	0	.12	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA exodeoxyribonuclease activity (GO:0008297)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
3'-5'-exodeoxyribonuclease activity (GO:0008296)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium- and calmodulin-responsive adenylate cyclase activity (GO:0008294)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
manganese ion binding (GO:0030145)	65	0	.10	-	 < 0.01	1.00E00	1.00E00
alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity (GO:0030144)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase binding (GO:1990782)	94	0	.15	-	 < 0.01	1.00E00	1.00E00
protein-histidine N-methyltransferase activity (GO:0018064)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfonylurea receptor activity (GO:0008281)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
D-aminoacyl-tRNA deacylase activity (GO:0051499)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity (GO:0043891)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine-6-sulfatase activity (GO:0043890)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein methyltransferase activity (GO:0008276)	88	0	.14	-	 < 0.01	1.00E00	1.00E00
calcium, potassium:sodium antiporter activity (GO:0008273)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
secondary active sulfate transmembrane transporter activity (GO:0008271)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
arrestin family protein binding (GO:1990763)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
JAK pathway signal transduction adaptor activity (GO:0008269)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
D3 vitamins binding (GO:1902271)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
poly(U) RNA binding (GO:0008266)	23	0	.04	-	 < 0.01	1.00E00	1.00E00
Mo-molybdopterin cofactor sulfurase activity (GO:0008265)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine-specific mismatch base pair DNA N-glycosylase activity (GO:0008263)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3-oxoacid CoA-transferase activity (GO:0008260)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein binding, bridging involved in substrate recognition for ubiquitination (GO:1990756)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
HLA-C specific inhibitory MHC class I receptor activity (GO:0030110)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity (GO:0043878)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
acireductone synthase activity (GO:0043874)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
HLA-B specific inhibitory MHC class I receptor activity (GO:0030109)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
HLA-A specific activating MHC class I receptor activity (GO:0030108)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3'-nucleotidase activity (GO:0008254)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
HLA-A specific inhibitory MHC class I receptor activity (GO:0030107)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5'-nucleotidase activity (GO:0008253)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
5'-deoxynucleotidase activity (GO:0002953)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotidase activity (GO:0008252)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynaptic density (GO:0098919)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA-specific adenosine deaminase activity (GO:0008251)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
structural constituent of synapse (GO:0098918)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
leukotriene-C(4) hydrolase (GO:0002951)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide phosphoethanolamine synthase activity (GO:0002950)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
adenyl-nucleotide exchange factor activity (GO:0000774)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidyl-N-methylethanolamine N-methyltransferase activity (GO:0000773)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methionine transmembrane transporter activity (GO:0043865)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calmodulin-lysine N-methyltransferase activity (GO:0018025)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone-lysine N-methyltransferase activity (GO:0018024)	44	0	.07	-	 < 0.01	1.00E00	1.00E00
omega peptidase activity (GO:0008242)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
pseudouridine 5'-phosphatase activity (GO:1990738)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-dipeptidase activity (GO:0008241)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
tripeptidyl-peptidase activity (GO:0008240)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide-gated ion channel activity (GO:0043855)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
dipeptidyl-peptidase activity (GO:0008239)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
exopeptidase activity (GO:0008238)	116	0	.18	-	 < 0.01	1.00E00	1.00E00
metallopeptidase activity (GO:0008237)	183	0	.29	-	 < 0.01	1.00E00	1.00E00
metalloexopeptidase activity (GO:0008235)	62	0	.10	-	 < 0.01	1.00E00	1.00E00
cysteine-type peptidase activity (GO:0008234)	190	0	.30	-	 < 0.01	1.00E00	1.00E00
V2 vasopressin receptor binding (GO:0031896)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
V1B vasopressin receptor binding (GO:0031895)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
V1A vasopressin receptor binding (GO:0031894)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
vasopressin receptor binding (GO:0031893)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Ras palmitoyltransferase activity (GO:0043849)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ADP-specific glucokinase activity (GO:0043843)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled amine receptor activity (GO:0008227)	62	0	.10	-	 < 0.01	1.00E00	1.00E00
telomerase inhibitor activity (GO:0010521)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA CDS binding (GO:1990715)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
taste receptor binding (GO:0031883)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
BH3 domain binding (GO:0051434)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
BH2 domain binding (GO:0051433)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
melatonin binding (GO:1904408)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
corticotropin-releasing hormone receptor 2 binding (GO:0051431)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
corticotropin-releasing hormone receptor 1 binding (GO:0051430)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
somatostatin receptor binding (GO:0031877)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
corticotropin-releasing hormone receptor binding (GO:0051429)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
proteinase activated receptor binding (GO:0031871)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide hormone receptor binding (GO:0051428)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
thromboxane A2 receptor binding (GO:0031870)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
PTB domain binding (GO:0051425)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
corticotropin-releasing hormone binding (GO:0051424)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tubulin N-acetyltransferase activity (GO:0019799)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
procollagen-proline dioxygenase activity (GO:0019798)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 3-dioxygenase activity (GO:0019797)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
EP4 subtype prostaglandin E2 receptor binding (GO:0031867)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heparin binding (GO:0008201)	173	0	.27	-	 < 0.01	1.00E00	1.00E00
ion channel inhibitor activity (GO:0008200)	38	0	.06	-	 < 0.01	1.00E00	1.00E00
prostanoid receptor binding (GO:0031862)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
prolactin-releasing peptide receptor binding (GO:0031861)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
(R,R)-butanediol dehydrogenase activity (GO:0000721)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NEDD8 transferase activity (GO:0019788)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity (GO:0043813)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4-phosphate phosphatase activity (GO:0043812)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ISG15-specific protease activity (GO:0019785)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NEDD8-specific protease activity (GO:0019784)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein-specific protease activity (GO:0019783)	126	0	.20	-	 < 0.01	1.00E00	1.00E00
ISG15 activating enzyme activity (GO:0019782)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NEDD8 activating enzyme activity (GO:0019781)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
FAT10 activating enzyme activity (GO:0019780)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet activating factor receptor binding (GO:0031859)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pituitary adenylate cyclase-activating polypeptide receptor binding (GO:0031858)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
type 1 parathyroid hormone receptor binding (GO:0031857)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
parathyroid hormone receptor binding (GO:0031856)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxytocin receptor binding (GO:0031855)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
orexigenic neuropeptide QRFP receptor binding (GO:0031854)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mu-type opioid receptor binding (GO:0031852)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
kappa-type opioid receptor binding (GO:0031851)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CH domain binding (GO:0051401)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Atg8 activating enzyme activity (GO:0019779)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
BH domain binding (GO:0051400)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
Atg12 activating enzyme activity (GO:0019778)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Atg12 transferase activity (GO:0019777)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Atg8 ligase activity (GO:0019776)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
low-affinity IgG receptor activity (GO:0019772)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IgG receptor activity (GO:0019770)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
olfactory receptor binding (GO:0031849)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
neuropeptide Y receptor binding (GO:0031841)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity (GO:0000703)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
type 2 neuromedin U receptor binding (GO:0031840)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidized base lesion DNA N-glycosylase activity (GO:0000702)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
purine-specific mismatch base pair DNA N-glycosylase activity (GO:0000701)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mismatch base pair DNA N-glycosylase activity (GO:0000700)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
IgE receptor activity (GO:0019767)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IgA receptor activity (GO:0019766)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
immunoglobulin receptor activity (GO:0019763)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
methylcytosine dioxygenase activity (GO:0070579)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
lysine-acetylated histone binding (GO:0070577)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
vitamin D 24-hydroxylase activity (GO:0070576)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
metallodipeptidase activity (GO:0070573)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
type 1 neuromedin U receptor binding (GO:0031839)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
substance K receptor binding (GO:0031837)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
neuromedin K receptor binding (GO:0031836)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pseudouridine synthase activity (GO:0009982)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
substance P receptor binding (GO:0031835)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neurokinin receptor binding (GO:0031834)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
uridylyltransferase activity (GO:0070569)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
guanylyltransferase activity (GO:0070568)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
cytidylyltransferase activity (GO:0070567)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
adenylyltransferase activity (GO:0070566)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
enterobactin binding (GO:1903981)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
primary active transmembrane transporter activity (GO:0015399)	116	0	.18	-	 < 0.01	1.00E00	1.00E00
cyclase activity (GO:0009975)	23	0	.04	-	 < 0.01	1.00E00	1.00E00
type 2A serotonin receptor binding (GO:0031826)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleobase:cation symporter activity (GO:0015391)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
purine-specific nucleoside:sodium symporter activity (GO:0015390)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled serotonin receptor binding (GO:0031821)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
nicotinic acid receptor activity (GO:0070553)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine- and adenine-specific:sodium symporter activity (GO:0015389)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endoribonuclease activity, cleaving siRNA-paired mRNA (GO:0070551)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
potassium:proton antiporter activity (GO:0015386)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
sodium:proton antiporter activity (GO:0015385)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
sodium:sulfate symporter activity (GO:0015382)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
P2Y1 nucleotide receptor binding (GO:0031812)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled nucleotide receptor binding (GO:0031811)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase binding (GO:0050998)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
quaternary ammonium group binding (GO:0050997)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
L-glutamine aminotransferase activity (GO:0070548)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-tyrosine aminotransferase activity (GO:0070547)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
potassium:chloride symporter activity (GO:0015379)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium:chloride symporter activity (GO:0015378)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
cation:chloride symporter activity (GO:0015377)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
glycine:sodium symporter activity (GO:0015375)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
anion:sodium symporter activity (GO:0015373)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
type 5 metabotropic glutamate receptor binding (GO:0031802)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
solute:sodium symporter activity (GO:0015370)	75	0	.12	-	 < 0.01	1.00E00	1.00E00
type 3 metabotropic glutamate receptor binding (GO:0031800)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
linoleic acid binding (GO:0070539)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oleic acid binding (GO:0070538)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium:proton antiporter activity (GO:0015369)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium:cation antiporter activity (GO:0015368)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097199)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
oxoglutarate:malate antiporter activity (GO:0015367)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
K63-linked polyubiquitin modification-dependent protein binding (GO:0070530)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
high-affinity sodium:dicarboxylate symporter activity (GO:0015362)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
low-affinity sodium:dicarboxylate symporter activity (GO:0015361)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
11-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0070524)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
secondary active monocarboxylate transmembrane transporter activity (GO:0015355)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium-dependent protein serine/threonine kinase activity (GO:0009931)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
methotrexate transmembrane transporter activity (GO:0015350)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-acyltransferase activity (GO:0019707)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-palmitoyltransferase activity (GO:0019706)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
death domain binding (GO:0070513)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
thyroid hormone transmembrane transporter activity (GO:0015349)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium-independent organic anion transmembrane transporter activity (GO:0015347)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribosome binding (GO:0097177)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid elongase activity (GO:0009922)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
siderophore transmembrane transporter activity (GO:0015343)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle receptor activity (GO:0070506)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
estradiol binding (GO:1903924)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol delta7 reductase activity (GO:0009918)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol 5-alpha reductase activity (GO:0009917)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide:proton symporter activity (GO:0015333)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfur carrier activity (GO:0097163)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MADS box domain binding (GO:0097162)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DH domain binding (GO:0097161)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polychlorinated biphenyl binding (GO:0097160)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
molybdenum cofactor sulfurtransferase activity (GO:0102867)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cystine secondary active transmembrane transporter activity (GO:0015328)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cystine:glutamate antiporter activity (GO:0015327)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-mRNA intronic pyrimidine-rich binding (GO:0097158)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-mRNA intronic binding (GO:0097157)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
secondary active oligopeptide transmembrane transporter activity (GO:0015322)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
sodium-dependent phosphate transmembrane transporter activity (GO:0015321)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
odorant binding (GO:0005549)	99	0	.16	-	 < 0.01	1.00E00	1.00E00
phospholipid transporter activity (GO:0005548)	53	0	.08	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol binding (GO:0005545)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium-dependent phospholipid binding (GO:0005544)	55	0	.09	-	 < 0.01	1.00E00	1.00E00
folic acid binding (GO:0005542)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
hyaluronic acid binding (GO:0005540)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
sodium:inorganic phosphate symporter activity (GO:0015319)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphate:proton symporter activity (GO:0015317)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I general transcription initiation factor activity (GO:0001181)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
organophosphate:inorganic phosphate antiporter activity (GO:0015315)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
deoxyribonuclease inhibitor activity (GO:0060703)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan binding (GO:0005539)	234	0	.37	-	 < 0.01	1.00E00	1.00E00
mannose binding (GO:0005537)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
glucose binding (GO:0005536)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
galactose binding (GO:0005534)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I general transcription initiation factor binding (GO:0001179)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
anion:anion antiporter activity (GO:0015301)	31	0	.05	-	 < 0.01	1.00E00	1.00E00
FK506 binding (GO:0005528)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
macrolide binding (GO:0005527)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
GTP binding (GO:0005525)	386	0	.61	-	 < 0.01	1.00E00	1.00E00
5-methyltetrahydrofolate-dependent methyltransferase activity (GO:0042084)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5,10-methylenetetrahydrofolate-dependent methyltransferase activity (GO:0042083)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tropomyosin binding (GO:0005523)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
profilin binding (GO:0005522)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
lamin binding (GO:0005521)	17	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity (GO:0034485)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor binding (GO:0005520)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
heparan sulfate sulfotransferase activity (GO:0034483)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfotransferase activity (GO:0034481)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I upstream control element sequence-specific DNA binding (GO:0001165)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I CORE element sequence-specific DNA binding (GO:0001164)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
leptomycin B binding (GO:1901707)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I regulatory region sequence-specific DNA binding (GO:0001163)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding (GO:0001162)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
