




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	Reactome version 65 Released 2019-03-12
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
Reactome pathways	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
ER Quality Control Compartment (ERQC) (R-HSA-901032)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
XAV939 inhibits tankyrase, stabilizing AXIN (R-HSA-5545619)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
SUMOylation of transcription cofactors (R-HSA-3899300)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Diseases associated with visual transduction (R-HSA-2474795)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Listeria monocytogenes entry into host cells (R-HSA-8876384)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
AKT phosphorylates targets in the nucleus (R-HSA-198693)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Gap junction degradation (R-HSA-190873)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Transport of connexons to the plasma membrane (R-HSA-190872)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
Defective B3GALT6 causes EDSP2 and SEMDJL1 (R-HSA-4420332)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
WNT mediated activation of DVL (R-HSA-201688)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Synthesis of very long-chain fatty acyl-CoAs (R-HSA-75876)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
EGFR Transactivation by Gastrin (R-HSA-2179392)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Gap junction trafficking and regulation (R-HSA-157858)	49	0	.26	-	 < 0.01	1.00E00	1.00E00
Formation of ATP by chemiosmotic coupling (R-HSA-163210)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Activation of NIMA Kinases NEK9, NEK6, NEK7 (R-HSA-2980767)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Nuclear Envelope Breakdown (R-HSA-2980766)	46	0	.24	-	 < 0.01	1.00E00	1.00E00
Neurotransmitter receptors and postsynaptic signal transmission (R-HSA-112314)	148	0	.78	-	 < 0.01	1.00E00	1.00E00
Butyrophilin (BTN) family interactions (R-HSA-8851680)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
AKT phosphorylates targets in the cytosol (R-HSA-198323)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Neurotransmitter clearance (R-HSA-112311)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Gap junction assembly (R-HSA-190861)	37	0	.19	-	 < 0.01	1.00E00	1.00E00
Miscellaneous transport and binding events (R-HSA-5223345)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Defective SLC5A2 causes renal glucosuria (GLYS1) (R-HSA-5658208)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Initiation of Nuclear Envelope Reformation (R-HSA-2995383)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Defective ABCD4 causes methylmalonic aciduria and homocystinuria, cblj type (MAHCJ) (R-HSA-5683329)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Signaling by MST1 (R-HSA-8852405)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Interleukin receptor SHC signaling (R-HSA-912526)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. (R-HSA-163200)	123	0	.64	-	 < 0.01	1.00E00	1.00E00
Triglyceride catabolism (R-HSA-163560)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
Toxicity of botulinum toxin type E (BoNT/E) (R-HSA-5250992)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Stimulation of the cell death response by PAK-2p34 (R-HSA-211736)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Presynaptic depolarization and calcium channel opening (R-HSA-112308)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Transmission across Electrical Synapses  (R-HSA-112307)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Electric Transmission Across Gap Junctions (R-HSA-112303)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Uptake and actions of bacterial toxins (R-HSA-5339562)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta) (R-HSA-5358606)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Classical antibody-mediated complement activation (R-HSA-173623)	70	0	.37	-	 < 0.01	1.00E00	1.00E00
Regulation of TLR by endogenous ligand (R-HSA-5686938)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3) (R-HSA-5683678)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Regulation of PLK1 Activity at G2/M Transition (R-HSA-2565942)	85	0	.45	-	 < 0.01	1.00E00	1.00E00
Extension of Telomeres (R-HSA-180786)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
RHO GTPases activate KTN1 (R-HSA-5625970)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Toxicity of botulinum toxin type G (BoNT/G) (R-HSA-5250989)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Regulation of PAK-2p34 activity by PS-GAP/RHG10 (R-HSA-211728)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Mitochondrial calcium ion transport (R-HSA-8949215)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Toxicity of tetanus toxin (TeNT) (R-HSA-5250982)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Toxicity of botulinum toxin type F (BoNT/F) (R-HSA-5250981)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
AMER1 mutants destabilize the destruction complex (R-HSA-4839748)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Processing and activation of SUMO (R-HSA-3215018)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
truncated APC mutants destabilize the destruction complex (R-HSA-4839744)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex (R-HSA-4839743)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
RPIA deficiency: failed conversion of R5P to RU5P (R-HSA-5659996)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane (R-HSA-190840)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
G beta:gamma signalling through PI3Kgamma (R-HSA-392451)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Basigin interactions (R-HSA-210991)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
PECAM1 interactions (R-HSA-210990)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Toxicity of botulinum toxin type C (BoNT/C) (R-HSA-5250971)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Glycosphingolipid metabolism (R-HSA-1660662)	45	0	.24	-	 < 0.01	1.00E00	1.00E00
VEGF binds to VEGFR leading to receptor dimerization (R-HSA-195399)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Sphingolipid de novo biosynthesis (R-HSA-1660661)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models (R-HSA-8862803)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
AXIN mutants destabilize the destruction complex, activating WNT signaling (R-HSA-4839735)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM) (R-HSA-5656364)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase III Abortive And Retractive Initiation (R-HSA-749476)	41	0	.21	-	 < 0.01	1.00E00	1.00E00
PCNA-Dependent Long Patch Base Excision Repair (R-HSA-5651801)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
Golgi Associated Vesicle Biogenesis (R-HSA-432722)	54	0	.28	-	 < 0.01	1.00E00	1.00E00
Lysosome Vesicle Biogenesis (R-HSA-432720)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
Cholesterol biosynthesis via lathosterol (R-HSA-6807062)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Toxicity of botulinum toxin type A (BoNT/A) (R-HSA-5250968)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Resolution of Sister Chromatid Cohesion (R-HSA-2500257)	122	0	.64	-	 < 0.01	1.00E00	1.00E00
Gap junction trafficking (R-HSA-190828)	48	0	.25	-	 < 0.01	1.00E00	1.00E00
Cytosolic iron-sulfur cluster assembly (R-HSA-2564830)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Transport of connexins along the secretory pathway (R-HSA-190827)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Chromatin organization (R-HSA-4839726)	241	0	1.26	-	 < 0.01	6.40E-01	1.00E00
Interleukin-17 signaling (R-HSA-448424)	71	0	.37	-	 < 0.01	1.00E00	1.00E00
Elevation of cytosolic Ca2+ levels (R-HSA-139853)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
SMAD2/3 Phosphorylation Motif Mutants in Cancer (R-HSA-3304356)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Pregnenolone biosynthesis (R-HSA-196108)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Processing of Capped Intron-Containing Pre-mRNA (R-HSA-72203)	237	0	1.24	-	 < 0.01	6.39E-01	1.00E00
Transport of Mature Transcript to Cytoplasm (R-HSA-72202)	79	0	.41	-	 < 0.01	1.00E00	1.00E00
Toxicity of botulinum toxin type B (BoNT/B) (R-HSA-5250958)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA Editing: C to U Conversion (R-HSA-72200)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Signaling by TGF-beta Receptor Complex in Cancer (R-HSA-3304351)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Toxicity of botulinum toxin type D (BoNT/D) (R-HSA-5250955)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2 (R-HSA-964827)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Retinoid metabolism disease events (R-HSA-6809583)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Negative regulators of DDX58/IFIH1 signaling (R-HSA-936440)	34	0	.18	-	 < 0.01	1.00E00	1.00E00
MPS II - Hunter syndrome (R-HSA-2206296)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Attachment of GPI anchor to uPAR (R-HSA-162791)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
MPS VII - Sly syndrome (R-HSA-2206292)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Polo-like kinase mediated events (R-HSA-156711)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
MPS IIIC - Sanfilippo syndrome C (R-HSA-2206291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MPS IV - Morquio syndrome A (R-HSA-2206290)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Regulation of thyroid hormone activity (R-HSA-350864)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Cholesterol biosynthesis via desmosterol (R-HSA-6807047)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Loss of Function of SMAD2/3 in Cancer (R-HSA-3304349)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Interleukin-35 Signalling (R-HSA-8984722)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Loss of Function of SMAD4 in Cancer (R-HSA-3304347)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Nuclear import of Rev protein (R-HSA-180746)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
Beta-oxidation of very long chain fatty acids (R-HSA-390247)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
STAT6-mediated induction of chemokines (R-HSA-3249367)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Negative epigenetic regulation of rRNA expression (R-HSA-5250941)	78	0	.41	-	 < 0.01	1.00E00	1.00E00
Regulation of cortical dendrite branching (R-HSA-8985801)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
MPS VI - Maroteaux-Lamy syndrome (R-HSA-2206285)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MPS IIIB - Sanfilippo syndrome B (R-HSA-2206282)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Mucopolysaccharidoses (R-HSA-2206281)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
MPS IX - Natowicz syndrome (R-HSA-2206280)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Adenylate cyclase inhibitory pathway (R-HSA-170670)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Signal transduction by L1 (R-HSA-445144)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
Regulation by c-FLIP (R-HSA-3371378)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Opioid Signalling (R-HSA-111885)	81	0	.42	-	 < 0.01	1.00E00	1.00E00
The role of Nef in HIV-1 replication and disease pathogenesis (R-HSA-164952)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
Galactose catabolism (R-HSA-70370)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Receptor Mediated Mitophagy (R-HSA-8934903)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
rRNA processing in the nucleus and cytosol (R-HSA-8868773)	191	0	1.00	-	 < 0.01	6.29E-01	1.00E00
Defective GGT1 causes Glutathionuria (GLUTH) (R-HSA-9035968)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Pink/Parkin Mediated Mitophagy (R-HSA-5205685)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
CD209 (DC-SIGN) signaling (R-HSA-5621575)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
Deposition of new CENPA-containing nucleosomes at the centromere (R-HSA-606279)	54	0	.28	-	 < 0.01	1.00E00	1.00E00
Pyrimidine catabolism (R-HSA-73621)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Adenylate cyclase activating pathway (R-HSA-170660)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
RUNX2 regulates osteoblast differentiation (R-HSA-8940973)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Nef and signal transduction (R-HSA-164944)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase III Transcription Termination (R-HSA-73980)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Nucleotide salvage (R-HSA-8956321)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Nucleobase biosynthesis (R-HSA-8956320)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Nef mediated downregulation of MHC class I complex cell surface expression (R-HSA-164940)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
rRNA processing in the mitochondrion (R-HSA-8868766)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Lipid particle organization (R-HSA-8964572)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
B-WICH complex positively regulates rRNA expression (R-HSA-5250924)	59	0	.31	-	 < 0.01	1.00E00	1.00E00
Vitamin D (calciferol) metabolism (R-HSA-196791)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Diseases of metabolism (R-HSA-5668914)	104	0	.54	-	 < 0.01	1.00E00	1.00E00
Other interleukin signaling (R-HSA-449836)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Recycling pathway of L1 (R-HSA-437239)	47	0	.25	-	 < 0.01	1.00E00	1.00E00
Synthesis of UDP-N-acetyl-glucosamine (R-HSA-446210)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Defective EXT1 causes exostoses 1, TRPS2 and CHDS (R-HSA-3656253)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Nucleobase catabolism (R-HSA-8956319)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
Nef mediated downregulation of CD28 cell surface expression (R-HSA-164939)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Pyrimidine salvage (R-HSA-73614)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters (R-HSA-164938)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
Activated NTRK3 signals through RAS (R-HSA-9034864)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Amine-derived hormones (R-HSA-209776)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Fructose catabolism (R-HSA-70350)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Inhibition of PKR (R-HSA-169131)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RUNX1 regulates estrogen receptor mediated transcription (R-HSA-8931987)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA strand elongation (R-HSA-69190)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
Release of Hh-Np from the secreting cell (R-HSA-5362798)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Reuptake of GABA (R-HSA-888593)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Positive epigenetic regulation of rRNA expression (R-HSA-5250913)	74	0	.39	-	 < 0.01	1.00E00	1.00E00
Gamma carboxylation, hypusine formation and arylsulfatase activation (R-HSA-163841)	39	0	.20	-	 < 0.01	1.00E00	1.00E00
Coenzyme A biosynthesis (R-HSA-196783)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
GABA synthesis, release, reuptake and degradation (R-HSA-888590)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Biotin transport and metabolism (R-HSA-196780)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Synthesis of GDP-mannose (R-HSA-446205)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective HEXB causes GM2G2 (R-HSA-3656248)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Signaling by NTRK2 (TRKB) (R-HSA-9006115)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
MET activates RAP1 and RAC1 (R-HSA-8875555)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d) (R-HSA-3656244)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Defective ST3GAL3 causes MCT12 and EIEE15 (R-HSA-3656243)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Lagging Strand Synthesis (R-HSA-69186)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
Negative regulation of MET activity (R-HSA-6807004)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
rRNA modification in the nucleus and cytosol (R-HSA-6790901)	60	0	.31	-	 < 0.01	1.00E00	1.00E00
Processive synthesis on the lagging strand (R-HSA-69183)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
RNA Pol II CTD phosphorylation and interaction with CE (R-HSA-77075)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
Phosphate bond hydrolysis by NUDT proteins (R-HSA-2393930)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism (R-HSA-6788656)	46	0	.24	-	 < 0.01	1.00E00	1.00E00
Apoptotic cleavage of cell adhesion  proteins (R-HSA-351906)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Defective EXT2 causes exostoses 2 (R-HSA-3656237)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Defective HEXA causes GM2G1 (R-HSA-3656234)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class II antigen presentation (R-HSA-2132295)	125	0	.65	-	 < 0.01	1.00E00	1.00E00
MyD88 deficiency (TLR2/4) (R-HSA-5602498)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Global Genome Nucleotide Excision Repair (GG-NER) (R-HSA-5696399)	84	0	.44	-	 < 0.01	1.00E00	1.00E00
Defective DPM2 causes DPM2-CDG (CDG-1u) (R-HSA-4719377)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Nucleotide Excision Repair (R-HSA-5696398)	110	0	.58	-	 < 0.01	1.00E00	1.00E00
Gap-filling DNA repair synthesis and ligation in GG-NER (R-HSA-5696397)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Activation of gene expression by SREBF (SREBP) (R-HSA-2426168)	40	0	.21	-	 < 0.01	1.00E00	1.00E00
Mitophagy (R-HSA-5205647)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
Diseases of glycosylation (R-HSA-3781865)	141	0	.74	-	 < 0.01	1.00E00	1.00E00
Formation of Incision Complex in GG-NER (R-HSA-5696395)	43	0	.23	-	 < 0.01	1.00E00	1.00E00
DNA Damage Recognition in GG-NER (R-HSA-5696394)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
Estrogen biosynthesis (R-HSA-193144)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Signaling by Leptin (R-HSA-2586552)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Protein-protein interactions at synapses (R-HSA-6794362)	87	0	.46	-	 < 0.01	1.00E00	1.00E00
NRIF signals cell death from the nucleus (R-HSA-205043)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Neurexins and neuroligins (R-HSA-6794361)	57	0	.30	-	 < 0.01	1.00E00	1.00E00
Diseases associated with N-glycosylation of proteins (R-HSA-3781860)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Orexin and neuropeptides FF and QRFP bind to their respective receptors (R-HSA-389397)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Signaling by EGFR in Cancer (R-HSA-1643713)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Defective CHST6 causes MCDC1 (R-HSA-3656225)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (R-HSA-198933)	194	0	1.02	-	 < 0.01	6.30E-01	1.00E00
Proline catabolism (R-HSA-70688)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Pausing and recovery of HIV elongation (R-HSA-167290)	36	0	.19	-	 < 0.01	1.00E00	1.00E00
ARMS-mediated activation (R-HSA-170984)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Phosphate bond hydrolysis by NTPDase proteins (R-HSA-8850843)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Removal of the Flap Intermediate (R-HSA-69166)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Formation of xylulose-5-phosphate (R-HSA-5661270)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
GABA synthesis (R-HSA-888568)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Metabolism of folate and pterines (R-HSA-196757)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Defective DPM3 causes DPM3-CDG (CDG-1o) (R-HSA-4719360)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Pyruvate metabolism and Citric Acid (TCA) cycle (R-HSA-71406)	54	0	.28	-	 < 0.01	1.00E00	1.00E00
Citric acid cycle (TCA cycle) (R-HSA-71403)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Interleukin-38 signaling (R-HSA-9007892)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
HIV elongation arrest and recovery (R-HSA-167287)	36	0	.19	-	 < 0.01	1.00E00	1.00E00
Acyl chain remodelling of PG (R-HSA-1482925)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Arachidonate production from DAG (R-HSA-426048)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Acyl chain remodelling of PI (R-HSA-1482922)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Regulation of PTEN localization (R-HSA-8948747)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
IRF3 mediated activation of type 1 IFN (R-HSA-1606341)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Interleukin-1 processing (R-HSA-448706)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Resolution of Abasic Sites (AP sites) (R-HSA-73933)	36	0	.19	-	 < 0.01	1.00E00	1.00E00
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway (R-HSA-73930)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
HS-GAG biosynthesis (R-HSA-2022928)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Transcription of E2F targets under negative control by DREAM complex (R-HSA-1362277)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Formation of editosomes by ADAR proteins (R-HSA-77042)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Dermatan sulfate biosynthesis (R-HSA-2022923)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Wax biosynthesis (R-HSA-8848584)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
NADE modulates death signalling (R-HSA-205025)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Synthesis of Hepoxilins (HX) and Trioxilins (TrX) (R-HSA-2142696)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Cobalamin (Cbl, vitamin B12) transport and metabolism (R-HSA-196741)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
Synthesis of dolichyl-phosphate-glucose (R-HSA-480985)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Synthesis of Leukotrienes (LT) and Eoxins (EX) (R-HSA-2142691)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
MET promotes cell motility (R-HSA-8875878)	40	0	.21	-	 < 0.01	1.00E00	1.00E00
Clathrin derived vesicle budding (R-HSA-421837)	72	0	.38	-	 < 0.01	1.00E00	1.00E00
Base-Excision Repair, AP Site Formation (R-HSA-73929)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Frs2-mediated activation (R-HSA-170968)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
MET interacts with TNS proteins (R-HSA-8875513)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Depyrimidination (R-HSA-73928)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Synthesis of glycosylphosphatidylinositol (GPI) (R-HSA-162710)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Depurination (R-HSA-73927)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Chemokine receptors bind chemokines (R-HSA-380108)	48	0	.25	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of E-series 18(R)-resolvins (R-HSA-9023661)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
TICAM1,TRAF6-dependent induction of TAK1 complex (R-HSA-9014325)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Mitochondrial Uncoupling Proteins (R-HSA-166187)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
The NLRP3 inflammasome (R-HSA-844456)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
The NLRP1 inflammasome (R-HSA-844455)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Inhibition of Signaling by Overexpressed EGFR (R-HSA-5638303)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
EPH-Ephrin signaling (R-HSA-2682334)	91	0	.48	-	 < 0.01	1.00E00	1.00E00
Circadian Clock (R-HSA-400253)	67	0	.35	-	 < 0.01	1.00E00	1.00E00
Signaling by Overexpressed Wild-Type EGFR in Cancer (R-HSA-5638302)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NFG and proNGF binds to p75NTR (R-HSA-205017)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Establishment of Sister Chromatid Cohesion (R-HSA-2468052)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
