




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
nuclear replisome (GO:0043601)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule plus-end (GO:1904511)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
anchored component of external side of plasma membrane (GO:0031362)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
integral component of presynaptic active zone membrane (GO:0099059)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
integral component of postsynaptic membrane (GO:0099055)	124	0	.65	-	 < 0.01	1.00E00	1.00E00
hinge region between urothelial plaques of apical plasma membrane (GO:0120003)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
activating signal cointegrator 1 complex (GO:0099053)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
apical plasma membrane urothelial plaque (GO:0120001)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
CBM complex (GO:0032449)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
activin responsive factor complex (GO:0032444)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
condensed nuclear chromosome outer kinetochore (GO:0000942)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
condensed nuclear chromosome inner kinetochore (GO:0000941)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
condensed chromosome outer kinetochore (GO:0000940)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
cuticular plate (GO:0032437)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Swi5-Sfr1 complex (GO:0032798)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
SMN complex (GO:0032797)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
filopodium tip (GO:0032433)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
extrinsic component of Golgi membrane (GO:0090498)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
actin filament bundle (GO:0032432)	78	0	.41	-	 < 0.01	1.00E00	1.00E00
extracellular membrane-bounded organelle (GO:0065010)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial endopeptidase Clp complex (GO:0009841)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
condensed chromosome inner kinetochore (GO:0000939)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
GARP complex (GO:0000938)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear cyclin-dependent protein kinase holoenzyme complex (GO:0019908)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
taste receptor complex (GO:1903768)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase activating kinase holoenzyme complex (GO:0019907)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
sweet taste receptor complex (GO:1903767)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
P-body (GO:0000932)	88	0	.46	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic endosome membrane (GO:0099034)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin large complex (GO:0000931)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic recycling endosome membrane (GO:0099033)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin complex (GO:0000930)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic density membrane (GO:0099031)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic specialization membrane (GO:0099030)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
stereocilium tip (GO:0032426)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
ELL-EAF complex (GO:0032783)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
stereocilium bundle (GO:0032421)	60	0	.31	-	 < 0.01	1.00E00	1.00E00
stereocilium (GO:0032420)	54	0	.28	-	 < 0.01	1.00E00	1.00E00
dendritic microtubule (GO:1901588)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
RNAi effector complex (GO:0031332)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
PET complex (GO:1990923)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
anchored component of presynaptic active zone membrane (GO:0099029)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
anchored component of presynaptic membrane (GO:0099026)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
equatorial microtubule organizing center (GO:0000923)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic membrane (GO:0099025)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
HULC complex (GO:0033503)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
cortical microtubule plus-end (GO:1903754)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle tethering complex (GO:0099023)	69	0	.36	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum lumen (GO:0099020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of lysosome membrane (GO:0032419)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ooplasm (GO:1990917)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm head plasma membrane (GO:1990913)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
G-protein beta/gamma-subunit complex (GO:0031680)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle lumen (GO:0099013)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle membrane (GO:0099012)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex (GO:0071065)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-vitronectin complex (GO:0071062)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Holliday junction resolvase complex (GO:0048476)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Wnt signalosome (GO:1990909)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
extrinsic component of mitochondrial outer membrane (GO:0031315)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of mitochondrial inner membrane (GO:0031314)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
tetraspanin-enriched microdomain (GO:0097197)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
platelet dense granule (GO:0042827)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
extrinsic component of endosome membrane (GO:0031313)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
extrinsic component of organelle membrane (GO:0031312)	49	0	.26	-	 < 0.01	1.00E00	1.00E00
Shu complex (GO:0097196)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
TAP complex (GO:0042825)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
H zone (GO:0031673)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class I peptide loading complex (GO:0042824)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
intrinsic component of vacuolar membrane (GO:0031310)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
integral component of nuclear outer membrane (GO:0031309)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of nuclear outer membrane (GO:0031308)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integral component of mitochondrial outer membrane (GO:0031307)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
intrinsic component of mitochondrial outer membrane (GO:0031306)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
intrinsic component of endosome membrane (GO:0031302)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor heterodimeric complex (GO:0038039)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-coagulation factor XI complex (GO:0097183)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor homodimeric complex (GO:0038038)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-coagulation factor Xa complex (GO:0097182)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
zona pellucida receptor complex (GO:0002199)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor dimeric complex (GO:0038037)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-coagulation factor V complex (GO:0097181)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
serine protease inhibitor complex (GO:0097180)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
host cell mitochondrial intermembrane space (GO:0072492)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MAML1-RBP-Jkappa- ICN1 complex (GO:0002193)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
CCAAT-binding factor complex (GO:0016602)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
flotillin complex (GO:0016600)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
kinociliary basal body (GO:1902636)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
FAR/SIN/STRIPAK complex (GO:0090443)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
protease inhibitor complex (GO:0097179)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
MSL complex (GO:0072487)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
ribose phosphate diphosphokinase complex (GO:0002189)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
AIM2 inflammasome complex (GO:0097169)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
basal cortex (GO:0045180)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear stress granule (GO:0097165)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	34	0	.18	-	 < 0.01	1.00E00	1.00E00
host cell nuclear part (GO:0044094)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Golgi-associated vesicle (GO:0005798)	186	0	.97	-	 < 0.01	1.00E00	1.00E00
palmitoyltransferase complex (GO:0002178)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Golgi medial cisterna (GO:0005797)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
manchette (GO:0002177)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
smooth endoplasmic reticulum (GO:0005790)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor binding protein complex (GO:0016942)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
U2-type post-spliceosomal complex (GO:0071021)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
post-spliceosomal complex (GO:0071020)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
apical cortex (GO:0045179)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
muscle cell projection membrane (GO:0036195)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle cell projection (GO:0036194)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
3-methylcrotonyl-CoA carboxylase complex, mitochondrial (GO:0002169)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
signal peptidase complex (GO:0005787)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
kinesin II complex (GO:0016939)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
signal recognition particle, endoplasmic reticulum targeting (GO:0005786)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
kinesin I complex (GO:0016938)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
signal recognition particle receptor complex (GO:0005785)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Sec61 translocon complex (GO:0005784)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
glycine-gated chloride channel complex (GO:0016935)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
post-mRNA release spliceosomal complex (GO:0071014)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
catalytic step 2 spliceosome (GO:0071013)	86	0	.45	-	 < 0.01	1.00E00	1.00E00
catalytic step 1 spliceosome (GO:0071012)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
precatalytic spliceosome (GO:0071011)	51	0	.27	-	 < 0.01	1.00E00	1.00E00
prespliceosome (GO:0071010)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
cytoskeleton of presynaptic active zone (GO:0048788)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone membrane (GO:0048787)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone (GO:0048786)	73	0	.38	-	 < 0.01	1.00E00	1.00E00
perivitelline space (GO:0098595)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ferritin complex (GO:0070288)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mucin granule (GO:0098594)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of apical plasma membrane (GO:0098592)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
external side of apical plasma membrane (GO:0098591)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
centralspindlin complex (GO:0097149)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
early phagosome membrane (GO:0036186)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
BAK complex (GO:0097145)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
BAX complex (GO:0097144)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integral component of peroxisomal membrane (GO:0005779)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
BIM-BCL-2 complex (GO:0097141)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peroxisomal membrane (GO:0005778)	63	0	.33	-	 < 0.01	1.00E00	1.00E00
BIM-BCL-xl complex (GO:0097140)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
autophagosome (GO:0005776)	99	0	.52	-	 < 0.01	1.00E00	1.00E00
ESC/E(Z) complex (GO:0035098)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
vacuolar lumen (GO:0005775)	176	0	.92	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase complex (GO:0035097)	91	0	.48	-	 < 0.01	1.00E00	1.00E00
HOPS complex (GO:0030897)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
U2-type post-mRNA release spliceosomal complex (GO:0071008)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
checkpoint clamp complex (GO:0030896)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
U2-type catalytic step 2 spliceosome (GO:0071007)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
apolipoprotein B mRNA editing enzyme complex (GO:0030895)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
U2-type catalytic step 1 spliceosome (GO:0071006)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
multivesicular body (GO:0005771)	49	0	.26	-	 < 0.01	1.00E00	1.00E00
replisome (GO:0030894)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
small nuclear ribonucleoprotein complex (GO:0030532)	68	0	.36	-	 < 0.01	1.00E00	1.00E00
meiotic cohesin complex (GO:0030893)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
U2-type precatalytic spliceosome (GO:0071005)	50	0	.26	-	 < 0.01	1.00E00	1.00E00
U2-type prespliceosome (GO:0071004)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
mitotic cohesin complex (GO:0030892)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
VCB complex (GO:0030891)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
U4atac/U6atac snRNP (GO:0071002)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U4/U6 snRNP (GO:0071001)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear pericentric heterochromatin (GO:0031618)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
NMS complex (GO:0031617)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
RES complex (GO:0070274)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pigment granule (GO:0048770)	106	0	.56	-	 < 0.01	1.00E00	1.00E00
spindle pole centrosome (GO:0031616)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
plastid thylakoid (GO:0031976)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Bcl-2 family protein complex (GO:0097136)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
cyclin E2-CDK2 complex (GO:0097135)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin E1-CDK2 complex (GO:0097134)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin D2-CDK6 complex (GO:0097132)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organelle envelope lumen (GO:0031970)	89	0	.47	-	 < 0.01	1.00E00	1.00E00
secondary lysosome (GO:0005767)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
primary lysosome (GO:0005766)	154	0	.81	-	 < 0.01	1.00E00	1.00E00
granulocyte macrophage colony-stimulating factor receptor complex (GO:0030526)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytosolic tRNA wobble base thiouridylase complex (GO:0002144)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial small ribosomal subunit (GO:0005763)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
mitochondrial large ribosomal subunit (GO:0005762)	58	0	.30	-	 < 0.01	1.00E00	1.00E00
stereocilia ankle link complex (GO:0002142)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
follicle-stimulating hormone complex (GO:0016914)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribosome (GO:0005761)	90	0	.47	-	 < 0.01	1.00E00	1.00E00
stereocilia ankle link (GO:0002141)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
gamma DNA polymerase complex (GO:0005760)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
stereocilia tip link (GO:0002140)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase complex (GO:0030880)	123	0	.64	-	 < 0.01	1.00E00	1.00E00
inactive sex chromosome (GO:0098577)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lumenal side of membrane (GO:0098576)	36	0	.19	-	 < 0.01	1.00E00	1.00E00
lumenal side of lysosomal membrane (GO:0098575)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of lysosomal membrane (GO:0098574)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
cyclin D2-CDK4 complex (GO:0097129)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
organelle outer membrane (GO:0031968)	207	0	1.08	-	 < 0.01	6.31E-01	1.00E00
multivesicular body, internal vesicle lumen (GO:0097489)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin B1-CDK1 complex (GO:0097125)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
multivesicular body, internal vesicle (GO:0097487)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
multivesicular body lumen (GO:0097486)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
cyclin A2-CDK2 complex (GO:0097124)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin A1-CDK2 complex (GO:0097123)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cytosolic small ribosomal subunit (GO:0022627)	46	0	.24	-	 < 0.01	1.00E00	1.00E00
cytosolic ribosome (GO:0022626)	110	0	.58	-	 < 0.01	1.00E00	1.00E00
stereocilia coupling link (GO:0002139)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
cytosolic large ribosomal subunit (GO:0022625)	61	0	.32	-	 < 0.01	1.00E00	1.00E00
mitochondrial intermembrane space (GO:0005758)	80	0	.42	-	 < 0.01	1.00E00	1.00E00
mitochondrial permeability transition pore complex (GO:0005757)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted glutamate transport vesicle (GO:0060199)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
beta-catenin destruction complex (GO:0030877)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase, catalytic core (GO:0005754)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted vesicle (GO:0060198)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
polycystin complex (GO:0002133)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex IV (GO:0005751)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleolar chromatin (GO:0030874)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex III (GO:0005750)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Mre11 complex (GO:0030870)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
inward rectifier potassium channel complex (GO:1902937)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
intercellular canaliculus (GO:0046581)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
pole plasm (GO:0045495)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
pigment granule membrane (GO:0090741)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of late endosome membrane (GO:0098560)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
outer dynein arm (GO:0036157)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
inner dynein arm (GO:0036156)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) (GO:0005749)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex I (GO:0005747)	51	0	.27	-	 < 0.01	1.00E00	1.00E00
mitochondrial respirasome (GO:0005746)	90	0	.47	-	 < 0.01	1.00E00	1.00E00
ribbon synapse (GO:0097470)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
smooth endoplasmic reticulum membrane (GO:0030868)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
m-AAA complex (GO:0005745)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum membrane (GO:0030867)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
MLL1 complex (GO:0071339)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
cell pole (GO:0060187)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial outer membrane translocase complex (GO:0005742)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial outer membrane (GO:0005741)	183	0	.96	-	 < 0.01	1.00E00	1.00E00
interchromatin granule (GO:0035061)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
brahma complex (GO:0035060)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of early endosome membrane (GO:0098559)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
perinucleolar chromocenter (GO:0010370)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of rough endoplasmic reticulum membrane (GO:0098556)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
lumenal side of endoplasmic reticulum membrane (GO:0098553)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
site of DNA damage (GO:0090734)	80	0	.42	-	 < 0.01	1.00E00	1.00E00
Las1 complex (GO:0090730)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
filamentous actin (GO:0031941)	40	0	.21	-	 < 0.01	1.00E00	1.00E00
Lewy neurite (GO:0097462)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I complex (GO:0005736)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
semaphorin receptor complex (GO:0002116)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
microspike (GO:0044393)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of endosome membrane (GO:0010009)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
ribosomal subunit (GO:0044391)	195	0	1.02	-	 < 0.01	6.30E-01	1.00E00
chromocenter (GO:0010369)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
small nucleolar ribonucleoprotein complex (GO:0005732)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
nucleolus organizer region (GO:0005731)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone cytoplasmic component (GO:0099631)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
stereocilium membrane (GO:0060171)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
ciliary membrane (GO:0060170)	71	0	.37	-	 < 0.01	1.00E00	1.00E00
endocytic vesicle lumen (GO:0071682)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
lumenal side of Golgi membrane (GO:0098547)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyruvate kinase complex (GO:1902912)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein kinase complex (GO:1902911)	103	0	.54	-	 < 0.01	1.00E00	1.00E00
bub1-bub3 complex (GO:1990298)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
peripheral region of growth cone (GO:0090725)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
central region of growth cone (GO:0090724)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
intermediate filament cytoskeleton (GO:0045111)	262	0	1.37	-	 < 0.01	6.49E-01	1.00E00
meprin A complex (GO:0017090)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
hippocampal mossy fiber (GO:0097457)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
C zone (GO:0014705)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intercalated disc (GO:0014704)	53	0	.28	-	 < 0.01	1.00E00	1.00E00
telomeric heterochromatin (GO:0031933)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
TORC2 complex (GO:0031932)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Schwann cell microvillus (GO:0097454)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
TORC1 complex (GO:0031931)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
mesaxon (GO:0097453)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
junctional sarcoplasmic reticulum membrane (GO:0014701)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
GAIT complex (GO:0097452)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
glial limiting end-foot (GO:0097451)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear membrane microtubule tethering complex (GO:0106094)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization of symmetric synapse (GO:0099629)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
autosome (GO:0030849)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
astrocyte end-foot (GO:0097450)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
perichromatin fibrils (GO:0005726)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear telomeric heterochromatin (GO:0005724)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
podosome (GO:0002102)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
pericentric heterochromatin (GO:0005721)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
